timestamp,aggregate,fridge,washing_machine,dishwasher,microwave
2015-02-10 00:00:00+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:00:08+00:00,189.0,0.0,0.0,0.0,0.0
2015-02-10 00:00:16+00:00,193.0,0.0,0.0,0.0,0.0
2015-02-10 00:00:24+00:00,191.0,0.0,0.0,0.0,0.0
2015-02-10 00:00:32+00:00,189.5,0.0,0.0,0.0,0.0
2015-02-10 00:00:40+00:00,190.0,0.0,0.0,0.0,0.0
2015-02-10 00:00:48+00:00,190.0,0.0,0.0,0.0,0.0
2015-02-10 00:00:56+00:00,191.0,0.0,0.0,0.0,0.0
2015-02-10 00:01:04+00:00,188.0,0.0,0.0,0.0,0.0
2015-02-10 00:01:12+00:00,189.5,0.0,0.0,0.0,0.0
2015-02-10 00:01:20+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:01:28+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:01:36+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:01:44+00:00,189.0,0.0,0.0,0.0,0.0
2015-02-10 00:01:52+00:00,184.5,0.0,0.0,0.0,0.0
2015-02-10 00:02:00+00:00,185.0,0.0,0.0,0.0,0.0
2015-02-10 00:02:08+00:00,185.0,0.0,0.0,0.0,0.0
2015-02-10 00:02:16+00:00,185.0,0.0,0.0,0.0,0.0
2015-02-10 00:02:24+00:00,187.0,0.0,0.0,0.0,0.0
2015-02-10 00:02:32+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:02:40+00:00,187.0,0.0,0.0,0.0,0.0
2015-02-10 00:02:48+00:00,188.0,0.0,0.0,0.0,0.0
2015-02-10 00:02:56+00:00,188.0,0.0,0.0,0.0,0.0
2015-02-10 00:03:04+00:00,185.0,0.0,0.0,0.0,0.0
2015-02-10 00:03:12+00:00,185.0,0.0,0.0,0.0,0.0
2015-02-10 00:03:20+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:03:28+00:00,187.0,0.0,0.0,0.0,0.0
2015-02-10 00:03:36+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:03:44+00:00,187.5,0.0,0.0,0.0,0.0
2015-02-10 00:03:52+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:04:00+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:04:08+00:00,187.0,0.0,0.0,0.0,0.0
2015-02-10 00:04:16+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:04:24+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:04:32+00:00,186.0,0.0,0.0,0.0,0.0
2015-02-10 00:04:40+00:00,185.0,0.0,0.0,0.0,0.0
2015-02-10 00:04:48+00:00,185.0,0.0,0.0,0.0,0.0
2015-02-10 00:04:56+00:00,185.0,0.0,0.0,0.0,0.0
